# Extended metadata for cities.csv (not used by C++ parser)
# Source: GeoNames cities1000 India subset (CC BY 4.0)
city,geoname_id,admin1_code,state,population,latitude,longitude
Shimla,1256237,11,Himachal Pradesh,173503,31.104420,77.166620
Shiraguppi,8714565,16,Maharashtra,25000,16.618750,74.709070
Shiravagilu,10846585,13,Kerala,7630,12.549210,74.987590
Shirdi,1256489,16,Maharashtra,36004,19.766160,74.477380
Shirgaon,1256486,16,Maharashtra,5971,19.695890,72.715270
Shirhatti,1256483,19,Karnataka,17610,15.233520,75.579960
Shiriya,10846567,13,Kerala,5277,12.633370,74.930810
Shirpur,1256475,16,Maharashtra,76905,21.348210,74.880350
Shirud,1256470,16,Maharashtra,8455,20.735270,74.891870
Shirwal,1256469,16,Maharashtra,12703,18.150590,73.977880
Shishgarh,1256468,36,Uttar Pradesh,23471,28.729280,79.314690
Shitlu,13589598,12,Jammu and Kashmir,2926,34.236850,74.350990
Shivaji Nagar_Maharashtra,6943660,16,Maharashtra,1000000,18.530170,73.852630
Shivamogga,1256515,19,Karnataka,322650,13.931570,75.567910
Shivani Pisa,12402293,16,Maharashtra,2021,20.095500,76.452950
Shivatkar,13353661,16,Maharashtra,11228,18.101570,74.214190
Shivnandanpur,13156942,37,Chhattisgarh,6567,23.190250,82.953180
Shivpur Charcha,13156959,37,Chhattisgarh,23514,23.328880,82.528090
Shivpuri,1256451,35,Madhya Pradesh,179977,25.423780,77.662230
Shivrajpur,1256450,09,Gujarat,6705,22.423190,73.608650
Sholapur,1256436,16,Maharashtra,997281,17.671520,75.910440
Sholavandan,1274005,25,Tamil Nadu,22578,10.021600,77.960870
Sholinganallur,6693809,25,Tamil Nadu,35602,12.889960,80.231270
Sholinghur,1256435,25,Tamil Nadu,30856,13.118100,79.420250
Sholur,11460468,25,Tamil Nadu,9745,11.485150,76.655570
Shopian,1256414,12,Jammu and Kashmir,16360,33.717230,74.834130
Shoranur,1256432,13,Kerala,43533,10.761810,76.270780
Shorapur,1256431,19,Karnataka,51398,16.521000,76.757380
Shrigonda,1256426,16,Maharashtra,31134,18.615270,74.698950
Shrirampur_Maharashtra,11184435,16,Maharashtra,89282,19.622010,74.656990
Shrirampur_West_Bengal,1256422,28,West Bengal,226317,22.752780,88.342220
Shrirangapattana,1256421,19,Karnataka,25061,12.422640,76.684390
Shrivardhan,12493784,16,Maharashtra,15123,18.053180,73.001100
Shuganu,1256420,17,Manipur,5132,24.295460,93.873720
Shujalpur,1256418,35,Madhya Pradesh,51225,23.406730,76.709800
Shyamnagar,1256409,28,West Bengal,441956,22.833330,88.366670
Sialgudri,13353399,38,Jharkhand,5450,23.760550,86.351610
Siat,10701315,24,Rajasthan,12472,25.887890,73.738470
Sibsagar,1256388,03,Assam,62104,26.984270,94.637840
Siddapur,1256385,19,Karnataka,14769,14.343220,74.894000
Siddhapur,1256382,09,Gujarat,61867,23.917830,72.372120
Siddipet,1256377,40,Telangana,66737,18.104830,78.848580
Sidhauli,1256372,36,Uttar Pradesh,22193,27.282020,80.834500
Sidhi,1256369,35,Madhya Pradesh,54331,24.403800,81.879540
Sidhpura,1256367,36,Uttar Pradesh,14815,27.633120,78.869180
Sidlaghatta,1256363,19,Karnataka,51159,13.388960,77.864440
Sidsar,13157095,09,Gujarat,11795,21.718890,72.111200
Sihasa,10689551,35,Madhya Pradesh,5050,22.702530,75.778750
Sihor,1256343,09,Gujarat,54547,21.711340,71.961790
Sihora,1256340,35,Madhya Pradesh,44048,23.487100,80.104040
Sijhua,13353379,38,Jharkhand,4376,23.768970,86.169070
Sijua,1256335,38,Jharkhand,31537,23.776170,86.330280
Sikandarabad,1256329,36,Uttar Pradesh,73379,28.452260,77.700040
Sikandarpur_Haryana,1442213,10,Haryana,8894,29.415080,76.934160
Sikandarpur_Uttar_Pradesh,1256328,36,Uttar Pradesh,24177,26.043270,84.052980
Sikandra,1256324,36,Uttar Pradesh,12289,26.367220,79.629800
Sikandra Rao,1256322,36,Uttar Pradesh,42229,27.688590,78.379850
Sikar,1256320,24,Rajasthan,244497,27.612060,75.139960
Sikhera,10269873,36,Uttar Pradesh,5024,28.861720,77.570770
Sikhong Sekmai,13494534,17,Manipur,7390,24.637950,94.093440
Sikka,1256333,09,Gujarat,28814,22.432180,69.841580
Sikkarayapuram,13494671,25,Tamil Nadu,10187,13.017660,80.102700
Silaiman,11664576,25,Tamil Nadu,6436,9.873110,78.190590
Silao,1256295,34,Bihar,25674,25.083580,85.428040
Silapathar,7302857,03,Assam,25662,27.594410,94.724020
Silappadi,11658143,25,Tamil Nadu,17824,10.393970,78.007810
Silchar,1256287,03,Assam,178865,24.827330,92.797870
Silchar Part-X,13156848,03,Assam,6313,24.817250,92.813550
Silewara,10469664,16,Maharashtra,7290,21.291200,79.124040
Siliguri,1256525,28,West Bengal,515574,26.710040,88.428510
Sillod,1256269,16,Maharashtra,58230,20.303030,75.652840
Siltara,8985916,37,Chhattisgarh,10721,21.381160,81.663780
Silvani,1256260,35,Madhya Pradesh,18623,23.302600,78.440760
Silvassa,1256259,52,Dadra and Nagar Haveli and Daman and Diu,98265,20.273860,72.996730
Simaluguri,1256255,03,Assam,8286,26.918500,94.756840
Simaria,1256251,35,Madhya Pradesh,14045,24.794970,81.152000
Simdega,1256246,38,Jharkhand,42944,22.615230,84.502080
Simga,1256245,37,Chhattisgarh,16027,21.628100,81.703760
Sindgi,1256214,19,Karnataka,37226,16.918830,76.233680
Sindhnur,1256207,19,Karnataka,75837,15.769830,76.755810
Sindi_Maharashtra,10453829,16,Maharashtra,20956,20.742380,78.587100
Sindkhed Raja,1256205,16,Maharashtra,16434,19.953630,76.126370
Sinduria,13353396,38,Jharkhand,5262,24.389990,83.603680
Singampunari,8199699,25,Tamil Nadu,18143,10.186200,78.415000
Singanallur,1256184,25,Tamil Nadu,31239,10.998980,77.032380
Singanuram,10337414,40,Telangana,20061,18.822180,79.501710
Singapperumalkovil,1256181,25,Tamil Nadu,13566,12.759470,80.007500
Singapur,1445156,40,Telangana,24457,17.469820,78.125740
Singarayakonda,1256176,02,Andhra Pradesh,19400,15.230460,80.027940
Singarva,13157102,09,Gujarat,12547,23.022880,72.697370
Singhana,1256167,24,Rajasthan,11372,28.099590,75.838950
Singhesar Asthan,13156913,34,Bihar,5298,25.982450,86.794500
Singoli,1256146,35,Madhya Pradesh,9523,24.966670,75.300000
Singrauli,7279754,35,Madhya Pradesh,220257,24.199730,82.675350
Singtam,1256126,29,Sikkim,6133,27.234670,88.501680
Singur,1256124,28,West Bengal,19402,22.809170,88.229440
Sini,1256122,38,Jharkhand,6382,22.793250,85.945430
Sinnar,1256119,16,Maharashtra,65299,19.845050,73.998660
Sinor,1256117,09,Gujarat,11267,21.911170,73.339740
Sir Muttra,1256070,24,Rajasthan,17988,26.515010,77.372120
Sira,1256104,19,Karnataka,57928,13.741550,76.904300
Siralkoppa,1256100,19,Karnataka,16864,14.380700,75.250070
Sirappalli,11682491,25,Tamil Nadu,12403,11.454400,78.245320
Siraspur,10261418,07,Delhi,30445,28.758150,77.130870
Sirathu,1256096,36,Uttar Pradesh,13598,25.642920,81.318550
Sirgitti,10704820,37,Chhattisgarh,18428,22.047130,82.148710
Sirgora,10210945,35,Madhya Pradesh,7430,22.206340,78.883180
Sirhind,1256087,23,Punjab,60847,30.643210,76.384210
Sirka,11626032,38,Jharkhand,19871,23.645610,85.433330
Sirkazhi,1256075,25,Tamil Nadu,34927,11.237250,79.735850
Sirmaur,1256072,35,Madhya Pradesh,11878,24.836480,81.364480
Sirohi,1256067,24,Rajasthan,39229,24.888380,72.847940
Sironcha,1256065,16,Maharashtra,7427,18.848310,79.963800
Sironj,1256064,35,Madhya Pradesh,52460,24.103130,77.690550
Sirpur,1256063,40,Telangana,10116,19.479530,79.575580
Sirsa_Haryana,1256052,10,Haryana,182534,29.534890,75.028980
Sirsa_Uttar_Pradesh,1256053,36,Uttar Pradesh,12608,25.263400,82.091900
Sirsaganj,1256050,36,Uttar Pradesh,29034,27.057150,78.686610
Sirsi_Karnataka,1256047,19,Karnataka,62882,14.620720,74.835540
Sirsi_Uttar_Pradesh,1256040,36,Uttar Pradesh,22549,28.639160,78.643030
Sirsia,11729058,38,Jharkhand,7181,24.212040,86.313110
Sirsilla,1256039,40,Telangana,83186,18.388650,78.810480
Sirugamani,11662067,25,Tamil Nadu,10743,10.894960,78.530080
Siruguppa,1256029,19,Karnataka,52492,15.630000,76.892170
Sirukalathur,13494632,25,Tamil Nadu,6117,12.982300,80.054920
Sirukkaveripakkam,11442889,25,Tamil Nadu,8032,12.853010,79.677180
Sirumugai,1256027,25,Tamil Nadu,20066,11.321370,77.005210
Sirur,1256025,16,Maharashtra,37111,18.827600,74.374750
Sisauli_Haryana,10166427,10,Haryana,22479,30.142970,77.259590
Sisauli_Uttar_Pradesh,1256003,36,Uttar Pradesh,15837,29.413860,77.468900
Siswa Bazar,1255995,36,Uttar Pradesh,19939,27.146520,83.758030
