# City coordinates for WeatherIQ (GeoNames cities1000, India)
# Format: city,latitude,longitude
# Source: https://download.geonames.org/export/dump/cities1000.zip (CC BY 4.0)
city,latitude,longitude
Athmallik,20.721150,84.535140
Athner,21.623820,77.915230
Atholi,11.388530,75.759700
Atmakur_Andhra_Pradesh,15.881090,78.587040
Atmakur_Telangana,16.338020,77.808550
Atrauli,28.029640,78.285710
Atraulia,26.333300,82.947270
Atru,24.876860,76.661050
Attani,11.522050,77.512190
Attanur,11.500610,78.135570
Attayampatti,11.532720,78.053630
Attibele,12.778090,77.772590
Attili,16.700000,81.600000
Attimarappatti,8.739880,78.105340
Attingal,8.696090,76.815070
Attippatti,9.493890,78.127110
Attippattu,13.263290,80.291100
Attur_Tamil_Nadu,11.594140,78.601430
Atul,20.543640,72.941140
Audhan,20.848070,74.766090
Auhammadpur Majri,28.729220,77.038270
Aur,31.068390,76.002450
Aurad,18.253970,77.417610
Auraiya,26.465170,79.509180
Aurangabad Cantonment,19.876090,75.291610
Aurangabad_Bihar,24.752040,84.374200
Aurangabad_Maharashtra,19.877570,75.342260
Auras,26.914140,80.507920
Auroville,12.005490,79.808850
Ausa,18.247280,76.499300
Avadattur,11.701350,77.863820
Avadi,13.114700,80.109810
Avalepalli,12.771370,77.859410
Avalpundurai,11.231050,77.718190
Avanigadda,16.021480,80.918080
Avaniyapuram,9.881790,78.112550
Avanoor,10.608260,76.176200
Avanur,10.602370,76.175230
Avarpuri,19.793180,79.129210
Aversa,14.733330,74.300000
Avilala,13.611060,79.420800
Avinashi,11.192970,77.268650
Avinissery,10.469940,76.230050
Awantipur,33.919780,75.015150
Aya Nagar,28.472020,77.132700
Ayakod,8.345660,77.298740
Ayakudi,10.449920,77.551980
Ayanavelikulangara Vadakku,9.042980,76.522970
Ayancheri,11.626090,75.674270
Ayikudi,9.003220,77.344940
Aymanam,9.606840,76.500550
Ayodhya,26.799090,82.204700
Ayodhyapattanam,11.675460,78.240910
Ayyalur,10.481850,78.156390
Ayyampalaiyam,10.225280,77.748490
Ayyampettai,10.901410,79.179840
Ayyanur Teppakkuttai,11.596000,77.983880
Azamgarh,26.068320,83.183580
Azara,26.124080,91.611610
Azhagiapandipuram,8.300660,77.443940
Azhikkal,11.940430,75.305120
Azhikkod,11.919850,75.335490
Azhiyur,11.693480,75.560130
Azhoor,8.644150,76.798970
Baba Bakala,31.555450,75.263890
Babai_Madhya_Pradesh,22.702560,77.934940
Babai_Rajasthan,27.887600,75.762230
Babarpur,28.687470,77.285580
Baben,21.137250,73.096470
Baberu,25.547110,80.704430
Babina,25.239470,78.470280
Bablai,30.357290,76.879000
Babra,21.845770,71.305440
Babrala,28.264190,78.405600
Babugarh,28.723530,77.846770
Bacheli,18.684350,81.268610
Bachhraon,28.926940,78.234560
Bachhrawan,26.470900,81.115800
Bachra,23.688440,85.085530
Bad_Bihar,25.113010,84.292980
Bad_Uttar_Pradesh,27.410670,77.692240
Bada,26.064790,75.021550
Bada Barabil,22.111860,85.386840
Bada Malhera,24.564120,79.307120
Badagabettu,13.333480,74.799900
Badagal Ulipadi,12.952060,74.958150
Badagara,11.597760,75.581420
Badagrama,13.191050,74.747220
Badakodanda,19.937390,84.550620
Badamba,20.419120,85.344630
Badami,15.914950,75.676830
Badamibagh,34.073810,74.852760
Badarpur,24.868520,92.596060
Badarpur Railway Town,24.871060,92.570420
Badarwas,24.975160,77.564900
Baddi,30.957830,76.791360
Baddowal,30.861130,75.746900
Badepalli,16.754900,78.144270
Badgam,34.015240,74.720740
Badh Malak,28.919810,77.095770
Badhni Kalan,30.681300,75.290870
Badi,23.036670,78.084170
Badlapur,19.155160,73.265530
Badmal,20.380490,83.286400
Badnawar,23.021810,75.232680
Badra,23.191680,81.929190
Badshahpur,28.393170,77.049190
Baduria,22.744310,88.786550
Badvel,14.745100,79.062880
Bag,22.359050,74.790520
Baga,15.565170,73.755170
Bagaha_Bihar,27.099180,84.090030
Bagalkot,16.186730,75.696140
Bagar,28.187840,75.500120
Bagasra,21.487190,70.955160
Bagbahra,21.046060,82.386400
Bagbera,22.759480,86.190490
Bagdogra,26.699290,88.311770
Bagepalli,13.783380,77.796670
Bageshwar,29.837380,79.771610
Bagha Purana,30.688090,75.098380
Baghamara,25.189540,90.647890
Baghaula,28.208790,77.307910
Baghpat,28.944850,77.218650
Bagicha,22.977300,83.657050
Bagli,22.641240,76.348770
Bagnan,22.933380,88.138560
Bagra,23.733330,86.316670
Bagrana,26.884740,75.932390
Bagru,26.810670,75.547020
Bagula,23.336640,88.641090
Bah,26.869120,78.593850
Bahadurganj,26.261720,87.824430
Bahadurgarh,28.692870,76.935550
Bahadurpur,26.115190,85.902360
Baharampur,24.104730,88.251550
Bahbari Gaon,27.480550,95.326270
Baheri,28.774160,79.497400
Bahjoi,28.395020,78.626590
Bahraigh,27.574290,81.594740
Bahrampur,32.131460,75.395590
Bahsuma,29.200630,77.972210
Bahua,25.839420,80.622550
Bahula,23.651760,87.164750
Baidyabati,22.784980,88.325860
Baihar,22.101330,80.549670
Baikunthpur_Chhattisgarh,23.262060,82.560510
Baikunthpur_Madhya_Pradesh,24.727680,81.409750
Bail-Hongal,15.813700,74.858950
Bairagnia,26.740630,85.273230
Baisi,25.863020,87.744870
Bajna,27.897930,77.678360
Bajpe,12.980290,74.883180
Bajwa,22.368130,73.140620
Bakani,24.286240,76.237090
Bakarwala,28.667800,77.020110
Bakewar,26.662260,79.176250
Bakhri,25.598890,86.260740
Bakhtawarpur,28.823400,77.175390
Bakhtiarpur,25.455980,85.532900
Bakhtiyarpur,25.461790,85.531790
Bakloh,32.479390,75.918740
Bakreswar,23.883200,87.372650
Bakultala,12.503990,92.861700
Balachor,31.060620,76.301660
Balaga,18.315450,83.893260
